trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
190,False,"{'a': 0.3, 'e': 1}",25,0,-70.13911929015394,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
191,False,"{'a': 0.3, 'e': 1}",25,0,-170.4023452902559,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
192,False,"{'a': 0.3, 'e': 1}",25,0,-204.30113623246794,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
193,False,"{'a': 0.3, 'e': 1}",25,3,-143.90143080548933,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 3}",1
194,False,"{'a': 0.3, 'e': 1}",30,0,-224.66246484200045,"{0: 16, 1: 4, 2: 6, 3: 0, 4: 4}",0
195,False,"{'a': 0.3, 'e': 1}",25,0,-199.48473829443523,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
196,False,"{'a': 0.3, 'e': 1}",25,0,-130.0957653824416,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
197,False,"{'a': 0.3, 'e': 1}",25,0,-42.369282665828074,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
198,False,"{'a': 0.3, 'e': 1}",20,0,-51.07344113161948,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
199,False,"{'a': 0.3, 'e': 1}",20,0,-75.10580959273615,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
200,False,"{'a': 0.3, 'e': 1}",25,10,-76.09703699954673,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 1}",1
